n_number,serial_number,mfr_mdl_code,mfr,model,model_family,is_production_model,year_mfr,type_registrant,state,region,country,last_action_date,cert_issue_date,airworth_date,type_aircraft,type_engine,status_code,fract_owner
344GJ,2394,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2021,1,MO,3,US,20240926,20240926,20210916,4,1,V,
344MD,1781,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2018,7,FL,7,US,20240117,20240116,20180906,4,1,V,
344PG,2441,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2021,3,CA,4,US,20230728,20220405,20211110,4,1,V,
344PV,0036,2130010,CIRRUS DESIGN CORP,SF50,Vision Jet,1,2018,7,FL,7,US,20250424,20250424,20180306,4,5,V,
344SK,2657,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2007,7,MI,C,US,20230930,20170130,20070822,4,1,V,
344X,0308,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2012,1,TX,2,US,20230712,20120516,20120424,4,1,V,
345AP,0046,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,,3,DE,1,US,20230722,20190315,20101206,4,1,V,
345CE,1352,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,,3,OK,2,US,20230310,20200825,20030920,4,1,V,
345DA,1674,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2005,3,MT,S,US,20231020,20200416,20051107,4,1,V,
345DS,1997,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2019,7,TN,3,US,20260208,20260208,20191002,4,1,V,
345DZ,10271,2130004,CIRRUS DESIGN CORP,SR22T,SR Series,1,2024,7,CO,S,US,20250506,20241107,20241024,4,1,V,
345EF,2731,2130000,CIRRUS DESIGN CORP,SR20,SR Series,1,2021,7,NY,1,US,20231121,20231121,20210729,4,1,V,
345ET,0492,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2003,1,ID,S,US,20230310,20170815,20030317,4,1,V,
345JR,0594,2130001,CIRRUS DESIGN CORP,SR22,SR Series,1,2003,3,VA,1,US,20230501,20230501,20030623,4,1,V,
345KG,0812,2130010,CIRRUS DESIGN CORP,SF50,Vision Jet,1,,8,MN,C,US,20260521,,,4,5,M,
